Season,Cultivar,Repetition,PH,IFP,NLP,NGP,NGL,NS,MHG,GY
1,NEO 760 CE,1,58.80,15.20,98.20,177.80,1.81,5.20,152.20,3232.82
1,NEO 760 CE,2,58.60,13.40,102.00,195.00,1.85,7.20,141.69,3517.36
1,NEO 760 CE,3,63.40,17.20,100.40,203.00,2.02,6.80,148.81,3391.46
1,NEO 760 CE,4,60.27,15.27,100.20,191.93,1.89,6.40,148.50,3312.58
1,MANU IPRO,1,81.20,18.00,98.80,173.00,1.75,7.40,145.59,3230.99
1,MANU IPRO,2,75.80,20.80,69.20,128.00,1.85,7.20,154.87,3374.80
1,MANU IPRO,3,84.40,15.80,95.40,161.80,1.70,6.80,150.23,3182.76
1,MANU IPRO,4,80.47,18.20,87.80,154.27,1.77,7.13,149.90,3165.72
1,77HO111I2X - GUAPORÉ,1,52.20,14.40,64.80,148.80,2.30,7.20,180.25,3640.46
1,77HO111I2X - GUAPORÉ,2,55.80,15.80,72.00,188.80,2.62,6.20,176.75,3602.34
1,77HO111I2X - GUAPORÉ,3,54.00,19.40,78.20,182.40,2.33,7.80,173.16,3488.79
1,77HO111I2X - GUAPORÉ,4,54.00,16.53,71.67,173.33,2.42,7.07,176.73,3698.28
1,NK 7777 IPRO,1,54.00,15.40,82.20,219.20,2.67,8.20,188.27,4122.76
1,NK 7777 IPRO,2,59.20,17.00,63.20,176.00,2.78,9.00,184.01,3956.41
1,NK 7777 IPRO,3,68.40,17.80,80.00,272.40,2.24,7.00,181.78,3843.40
1,NK 7777 IPRO,4,60.53,16.73,75.13,222.53,2.56,8.07,184.69,3953.31
1,GNS7900 IPRO - AMPLA,1,55.20,19.80,49.00,80.60,1.64,3.60,161.01,3433.34
1,GNS7900 IPRO - AMPLA,2,64.20,18.80,54.40,123.60,2.27,4.00,162.93,3398.45
1,GNS7900 IPRO - AMPLA,3,57.20,18.20,50.20,82.20,1.64,4.40,161.34,3599.66
1,GNS7900 IPRO - AMPLA,4,58.87,18.93,51.20,95.47,1.85,4.00,163.11,3357.01
1,LTT 7901 IPRO,1,60.60,15.80,61.40,136.20,2.22,6.00,164.13,3430.72
1,LTT 7901 IPRO,2,66.40,18.20,89.00,191.60,2.15,7.40,163.56,3510.76
1,LTT 7901 IPRO,3,66.60,17.60,72.40,155.20,2.14,5.60,165.88,3221.51
1,LTT 7901 IPRO,4,64.53,17.20,74.27,161.00,2.17,6.33,165.68,3343.24
1,BRASMAX BÔNUS IPRO,1,71.20,19.40,73.00,232.00,2.05,6.40,177.23,3506.11
1,BRASMAX BÔNUS IPRO,2,64.00,17.00,58.40,141.40,2.42,6.60,178.30,3508.55
1,BRASMAX BÔNUS IPRO,3,68.40,13.40,62.00,250.60,2.21,5.00,183.42,3810.94
1,BRASMAX BÔNUS IPRO,4,67.87,16.60,64.47,208.00,2.23,6.00,183.52,3584.39
1,97Y97 IPRO,1,53.80,14.00,49.00,130.40,2.66,5.20,167.34,2947.93
1,97Y97 IPRO,2,51.00,19.20,64.60,172.00,2.66,5.40,168.24,3142.60
1,97Y97 IPRO,3,55.20,18.40,63.80,174.20,2.73,5.00,166.08,2801.83
1,97Y97 IPRO,4,53.33,17.20,59.13,158.87,2.68,5.20,172.62,2661.66
1,BRASMAX OLIMPO IPRO,1,86.60,23.00,44.00,160.00,2.00,4.80,187.87,4368.41
1,BRASMAX OLIMPO IPRO,2,91.00,24.00,71.80,138.40,1.93,5.60,187.38,4425.03
1,BRASMAX OLIMPO IPRO,3,84.60,26.40,87.60,226.00,2.58,6.20,177.10,4270.16
1,BRASMAX OLIMPO IPRO,4,87.40,24.47,67.80,174.80,2.17,5.53,180.00,4299.17
1,LYNDA IPRO,1,55.80,13.60,44.40,88.20,1.99,2.80,196.27,3716.41
